from_ba_id,from_ba_name,from_gf_id,from_gf_name,to_ba_id,to_ba_name,to_gf_id,to_gf_name
644adf45-9547-4533-9ee5-c0b14961360d,Acanthophyllia,1dd23b35-32d7-489f-bee1-3985e17c113f,Corymbose,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
644adf45-9547-4533-9ee5-c0b14961360d,Acanthophyllia,eb67cf91-533d-465c-bace-c7c6d3901516,Digitate,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
644adf45-9547-4533-9ee5-c0b14961360d,Acanthophyllia,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Encrusting,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
644adf45-9547-4533-9ee5-c0b14961360d,Acanthophyllia,e149db12-9398-4a10-8642-5db70d1a8505,Foliose,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
644adf45-9547-4533-9ee5-c0b14961360d,Acanthophyllia,888609b5-b58a-4d57-addc-a6935bba284b,Massive,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
644adf45-9547-4533-9ee5-c0b14961360d,Acanthophyllia,7a3be72b-a96e-4434-9c42-a817fe3fc765,Mushroom coral,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
644adf45-9547-4533-9ee5-c0b14961360d,Acanthophyllia,6b2aabb4-d16f-445e-933f-16341030fdba,Plates or tables,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
644adf45-9547-4533-9ee5-c0b14961360d,Acanthophyllia,66f2cd86-a949-414e-96ac-5ea1fb702c5c,Submassive,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
f05b022a-7158-42b9-a592-82418a7a8578,Acetabularia,,,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
f05b022a-7158-42b9-a592-82418a7a8578,Acetabularia,7e71833a-fc29-4176-91cb-1df6723089ed,Arborescent,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
f05b022a-7158-42b9-a592-82418a7a8578,Acetabularia,cf2deca6-53b8-4096-916f-32c2c71d14bf,Branching,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
f05b022a-7158-42b9-a592-82418a7a8578,Acetabularia,cbff6080-6387-44e5-b7ad-35f35f3db3a7,Columnar,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
f05b022a-7158-42b9-a592-82418a7a8578,Acetabularia,1dd23b35-32d7-489f-bee1-3985e17c113f,Corymbose,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
f05b022a-7158-42b9-a592-82418a7a8578,Acetabularia,eb67cf91-533d-465c-bace-c7c6d3901516,Digitate,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
f05b022a-7158-42b9-a592-82418a7a8578,Acetabularia,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Encrusting,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
f05b022a-7158-42b9-a592-82418a7a8578,Acetabularia,e149db12-9398-4a10-8642-5db70d1a8505,Foliose,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
f05b022a-7158-42b9-a592-82418a7a8578,Acetabularia,888609b5-b58a-4d57-addc-a6935bba284b,Massive,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
f05b022a-7158-42b9-a592-82418a7a8578,Acetabularia,7a3be72b-a96e-4434-9c42-a817fe3fc765,Mushroom coral,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
f05b022a-7158-42b9-a592-82418a7a8578,Acetabularia,6b2aabb4-d16f-445e-933f-16341030fdba,Plates or tables,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
f05b022a-7158-42b9-a592-82418a7a8578,Acetabularia,66f2cd86-a949-414e-96ac-5ea1fb702c5c,Submassive,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,Acropora,,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,Acropora,7e71833a-fc29-4176-91cb-1df6723089ed,Arborescent,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,Acropora,cf2deca6-53b8-4096-916f-32c2c71d14bf,Branching,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,Acropora,cbff6080-6387-44e5-b7ad-35f35f3db3a7,Columnar,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,Acropora,1dd23b35-32d7-489f-bee1-3985e17c113f,Corymbose,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,Acropora,eb67cf91-533d-465c-bace-c7c6d3901516,Digitate,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,Acropora,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Encrusting,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,Acropora,e149db12-9398-4a10-8642-5db70d1a8505,Foliose,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,Acropora,888609b5-b58a-4d57-addc-a6935bba284b,Massive,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,Acropora,7a3be72b-a96e-4434-9c42-a817fe3fc765,Mushroom coral,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,Acropora,6b2aabb4-d16f-445e-933f-16341030fdba,Plates or tables,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
050c0689-0b01-4a6c-afbf-a5d3ca39c310,Acropora,66f2cd86-a949-414e-96ac-5ea1fb702c5c,Submassive,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
48cb4d65-d4af-477a-94de-715bd73a591c,Acropora abrolhosensis,,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
48cb4d65-d4af-477a-94de-715bd73a591c,Acropora abrolhosensis,7e71833a-fc29-4176-91cb-1df6723089ed,Arborescent,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
48cb4d65-d4af-477a-94de-715bd73a591c,Acropora abrolhosensis,cf2deca6-53b8-4096-916f-32c2c71d14bf,Branching,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
48cb4d65-d4af-477a-94de-715bd73a591c,Acropora abrolhosensis,cbff6080-6387-44e5-b7ad-35f35f3db3a7,Columnar,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
48cb4d65-d4af-477a-94de-715bd73a591c,Acropora abrolhosensis,1dd23b35-32d7-489f-bee1-3985e17c113f,Corymbose,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
48cb4d65-d4af-477a-94de-715bd73a591c,Acropora abrolhosensis,eb67cf91-533d-465c-bace-c7c6d3901516,Digitate,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
48cb4d65-d4af-477a-94de-715bd73a591c,Acropora abrolhosensis,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Encrusting,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
48cb4d65-d4af-477a-94de-715bd73a591c,Acropora abrolhosensis,e149db12-9398-4a10-8642-5db70d1a8505,Foliose,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
48cb4d65-d4af-477a-94de-715bd73a591c,Acropora abrolhosensis,888609b5-b58a-4d57-addc-a6935bba284b,Massive,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
48cb4d65-d4af-477a-94de-715bd73a591c,Acropora abrolhosensis,7a3be72b-a96e-4434-9c42-a817fe3fc765,Mushroom coral,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
48cb4d65-d4af-477a-94de-715bd73a591c,Acropora abrolhosensis,6b2aabb4-d16f-445e-933f-16341030fdba,Plates or tables,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
48cb4d65-d4af-477a-94de-715bd73a591c,Acropora abrolhosensis,66f2cd86-a949-414e-96ac-5ea1fb702c5c,Submassive,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
808665af-0d4c-4d42-bd42-01deaecf0679,Acropora abrotanoides,,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
